radius,pressure,mass,density,energy
1.33333200e+04,4.28075953e+31,2.74869871e+30,8.71837576e+16,2.80573856e+14
1.33471800e+04,4.10038915e+31,2.75138831e+30,8.58296074e+16,2.72991988e+14
1.33610400e+04,3.92313516e+31,2.75404088e+30,8.44614024e+16,2.65422010e+14
1.33749000e+04,3.74902064e+31,2.75665580e+30,8.30785747e+16,2.57864018e+14
1.33887600e+04,3.57806966e+31,2.75923244e+30,8.16805169e+16,2.50318107e+14
1.34026200e+04,3.41030739e+31,2.76177014e+30,8.02665773e+16,2.42784375e+14
1.34164800e+04,3.24576013e+31,2.76426823e+30,7.88360557e+16,2.35262921e+14
1.34303400e+04,3.08445543e+31,2.76672599e+30,7.73881981e+16,2.27753844e+14
1.34442000e+04,2.92642220e+31,2.76914270e+30,7.59221903e+16,2.20257246e+14
1.34580600e+04,2.77169083e+31,2.77151758e+30,7.44371519e+16,2.12773231e+14
1.34719200e+04,2.62029329e+31,2.77384985e+30,7.29321274e+16,2.05301902e+14
1.34857800e+04,2.47226329e+31,2.77613867e+30,7.14060778e+16,1.97843366e+14
1.34996400e+04,2.32763647e+31,2.77838316e+30,6.98578695e+16,1.90397731e+14
1.35135000e+04,2.18645055e+31,2.78058242e+30,6.82862617e+16,1.82965106e+14
1.35273600e+04,2.04874554e+31,2.78273549e+30,6.66898921e+16,1.75545603e+14
1.35412200e+04,1.91456401e+31,2.78484135e+30,6.50672591e+16,1.68139336e+14
1.35550800e+04,1.78395135e+31,2.78689894e+30,6.34167011e+16,1.60746421e+14
1.35689400e+04,1.65695609e+31,2.78890713e+30,6.17363712e+16,1.53366975e+14
1.35828000e+04,1.53363028e+31,2.79086474e+30,6.00242075e+16,1.46001121e+14
1.35966600e+04,1.41402990e+31,2.79277047e+30,5.82778954e+16,1.38648982e+14
1.36105200e+04,1.29821541e+31,2.79462299e+30,5.64948224e+16,1.31310684e+14
1.36243800e+04,1.18625232e+31,2.79642083e+30,5.46720207e+16,1.23986357e+14
1.36382400e+04,1.07821196e+31,2.79816242e+30,5.28060959e+16,1.16676135e+14
1.36521000e+04,9.74172319e+30,2.79984607e+30,5.08931348e+16,1.09380155e+14
1.36659600e+04,8.74219179e+30,2.80146995e+30,4.89285869e+16,1.02098558e+14
1.36798200e+04,7.78447411e+30,2.80303205e+30,4.69071076e+16,9.48314903e+13
1.36936800e+04,6.86962688e+30,2.80453016e+30,4.48223485e+16,8.75791031e+13
1.37075400e+04,5.99883633e+30,2.80596182e+30,4.26666691e+16,8.03415534e+13
1.37214000e+04,5.17344629e+30,2.80732430e+30,4.04307338e+16,7.31190048e+13
1.37352600e+04,4.39499553e+30,2.80861449e+30,3.81029279e+16,6.59116282e+13
1.37491200e+04,3.66526885e+30,2.80982887e+30,3.56684860e+16,5.87196031e+13
1.37629800e+04,2.98636901e+30,2.81096329e+30,3.31081355e+16,5.15431192e+13
1.37768400e+04,2.36082213e+30,2.81201289e+30,3.03958751e+16,4.43823781e+13
1.37907000e+04,1.79173981e+30,2.81297173e+30,2.74950972e+16,3.72375958e+13
1.38045600e+04,1.28308474e+30,2.81383235e+30,2.43512275e+16,3.01090069e+13
1.38184200e+04,8.40145788e+29,2.81458496e+30,2.08760285e+16,2.29968697e+13
1.38322800e+04,4.70503223e+29,2.81521571e+30,1.69078013e+16,1.59014753e+13
1.38461400e+04,1.86453587e+29,2.81570250e+30,1.20755877e+16,8.82316532e+12
1.38600000e+04,1.48359507e+28,2.81599785e+30,4.81037635e+15,1.76237481e+12
