rho0,mass,radius
1.330000e+19,3.513859e+30,9.184020e+03
1.340000e+19,3.515094e+30,9.187060e+03
1.350000e+19,3.516324e+30,9.190040e+03
1.360000e+19,3.517548e+30,9.192950e+03
1.370000e+19,3.518765e+30,9.195800e+03
1.380000e+19,3.519976e+30,9.198590e+03
1.390000e+19,3.521179e+30,9.201320e+03
1.400000e+19,3.522374e+30,9.203990e+03
1.410000e+19,3.523561e+30,9.206600e+03
1.420000e+19,3.524740e+30,9.209150e+03
1.430000e+19,3.525910e+30,9.211640e+03
1.440000e+19,3.527070e+30,9.214080e+03
1.450000e+19,3.528222e+30,9.216460e+03
1.460000e+19,3.529364e+30,9.218790e+03
1.470000e+19,3.530496e+30,9.221070e+03
1.480000e+19,3.531618e+30,9.223290e+03
1.490000e+19,3.532729e+30,9.225460e+03
1.500000e+19,3.533831e+30,9.227580e+03
1.510000e+19,3.534922e+30,9.229650e+03
1.520000e+19,3.536002e+30,9.231670e+03
1.530000e+19,3.537071e+30,9.233650e+03
1.540000e+19,3.538130e+30,9.235570e+03
1.550000e+19,3.539177e+30,9.237460e+03
1.560000e+19,3.540213e+30,9.239290e+03
1.570000e+19,3.541239e+30,9.241080e+03
1.580000e+19,3.542253e+30,9.242830e+03
1.590000e+19,3.543255e+30,9.244540e+03
1.600000e+19,3.544247e+30,9.246200e+03
1.610000e+19,3.545227e+30,9.247830e+03
1.620000e+19,3.546196e+30,9.249410e+03
1.630000e+19,3.547154e+30,9.250960e+03
1.640000e+19,3.548100e+30,9.252460e+03
1.650000e+19,3.549035e+30,9.253930e+03
1.660000e+19,3.549958e+30,9.255360e+03
1.670000e+19,3.550871e+30,9.256750e+03
1.680000e+19,3.551772e+30,9.258110e+03
1.690000e+19,3.552662e+30,9.259440e+03
1.700000e+19,3.553540e+30,9.260730e+03
1.710000e+19,3.554408e+30,9.261990e+03
1.720000e+19,3.555264e+30,9.263210e+03
1.730000e+19,3.556109e+30,9.264400e+03
1.740000e+19,3.556944e+30,9.265560e+03
1.750000e+19,3.557767e+30,9.266690e+03
1.760000e+19,3.558580e+30,9.267790e+03
